Relación con la actividad y situación de actividad/inactividad,Personas sin y con discapacidad,año,Total
Inactivos: Total,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"24,7"
Inactivos: Total,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"22,3"
Inactivos: Total,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"22,4"
Inactivos: Total,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"22,3"
Inactivos: Total,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"22,0"
Inactivos: Total,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"21,9"
Inactivos: Total,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"22,2"
Inactivos: Total,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"66,0"
Inactivos: Total,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"65,5"
Inactivos: Total,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"65,0"
Inactivos: Total,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"64,8"
Inactivos: Total,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"66,1"
Inactivos: Total,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"66,4"
Inactivos: Estudiantes,Total,2019-01-01T00:00:00Z,"2.824,2"
Inactivos: Estudiantes,Total,2018-01-01T00:00:00Z,"2.708,1"
Inactivos: Estudiantes,Total,2017-01-01T00:00:00Z,"2.589,3"
Inactivos: Estudiantes,Total,2016-01-01T00:00:00Z,"2.555,2"
Inactivos: Estudiantes,Total,2015-01-01T00:00:00Z,"2.498,5"
Inactivos: Estudiantes,Total,2014-01-01T00:00:00Z,"2.388,3"
Inactivos: Estudiantes,Personas sin discapacidad,2019-01-01T00:00:00Z,"2.780,4"
Inactivos: Estudiantes,Personas sin discapacidad,2018-01-01T00:00:00Z,"2.662,9"
Inactivos: Estudiantes,Personas sin discapacidad,2017-01-01T00:00:00Z,"2.555,5"
Inactivos: Estudiantes,Personas sin discapacidad,2016-01-01T00:00:00Z,"2.522,7"
Inactivos: Estudiantes,Personas sin discapacidad,2015-01-01T00:00:00Z,"2.468,9"
Inactivos: Estudiantes,Personas sin discapacidad,2014-01-01T00:00:00Z,"2.363,8"
Inactivos: Estudiantes,Personas con discapacidad,2019-01-01T00:00:00Z,"43,8"
Inactivos: Estudiantes,Personas con discapacidad,2018-01-01T00:00:00Z,"45,2"
Inactivos: Estudiantes,Personas con discapacidad,2017-01-01T00:00:00Z,"33,9"
Inactivos: Estudiantes,Personas con discapacidad,2016-01-01T00:00:00Z,"32,5"
Inactivos: Estudiantes,Personas con discapacidad,2015-01-01T00:00:00Z,"29,6"
Inactivos: Estudiantes,Personas con discapacidad,2014-01-01T00:00:00Z,"24,5"
Inactivos: Estudiantes,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"9,3"
Inactivos: Estudiantes,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"9,0"
Inactivos: Estudiantes,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"8,6"
Inactivos: Estudiantes,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"8,5"
Inactivos: Estudiantes,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"8,3"
Inactivos: Estudiantes,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"7,9"
Inactivos: Estudiantes,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"9,7"
Inactivos: Estudiantes,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"9,4"
Inactivos: Estudiantes,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"9,1"
Inactivos: Estudiantes,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"8,9"
Inactivos: Estudiantes,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"8,7"
Inactivos: Estudiantes,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"8,3"
Inactivos: Estudiantes,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"2,3"
Inactivos: Estudiantes,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"2,4"
Inactivos: Estudiantes,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"1,8"
Inactivos: Estudiantes,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"1,8"
Inactivos: Estudiantes,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"1,7"
Inactivos: Estudiantes,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"1,4"
Inactivos: Jubilados,Total,2019-01-01T00:00:00Z,"1.015,4"
Inactivos: Jubilados,Total,2018-01-01T00:00:00Z,"1.001,7"
Inactivos: Jubilados,Total,2017-01-01T00:00:00Z,"1.047,6"
Inactivos: Jubilados,Total,2016-01-01T00:00:00Z,"1.047,2"
Inactivos: Jubilados,Total,2015-01-01T00:00:00Z,"1.066,3"
Inactivos: Jubilados,Total,2014-01-01T00:00:00Z,"1.089,3"
Inactivos: Jubilados,Personas sin discapacidad,2019-01-01T00:00:00Z,"719,9"
Inactivos: Jubilados,Personas sin discapacidad,2018-01-01T00:00:00Z,"712,4"
Inactivos: Jubilados,Personas sin discapacidad,2017-01-01T00:00:00Z,"750,9"
Inactivos: Jubilados,Personas sin discapacidad,2016-01-01T00:00:00Z,"746,2"
Inactivos: Jubilados,Personas sin discapacidad,2015-01-01T00:00:00Z,"767,3"
Inactivos: Jubilados,Personas sin discapacidad,2014-01-01T00:00:00Z,"805,5"
Inactivos: Jubilados,Personas con discapacidad,2019-01-01T00:00:00Z,"295,5"
Inactivos: Jubilados,Personas con discapacidad,2018-01-01T00:00:00Z,"289,2"
Inactivos: Jubilados,Personas con discapacidad,2017-01-01T00:00:00Z,"296,7"
Inactivos: Jubilados,Personas con discapacidad,2016-01-01T00:00:00Z,"301,0"
Inactivos: Jubilados,Personas con discapacidad,2015-01-01T00:00:00Z,"299,0"
Inactivos: Jubilados,Personas con discapacidad,2014-01-01T00:00:00Z,"283,8"
Inactivos: Jubilados,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"3,3"
Inactivos: Jubilados,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"3,3"
Inactivos: Jubilados,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"3,5"
Inactivos: Jubilados,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"3,5"
Inactivos: Jubilados,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"3,5"
Inactivos: Jubilados,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"3,6"
Inactivos: Jubilados,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"2,5"
Inactivos: Jubilados,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"2,5"
Inactivos: Jubilados,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"2,7"
Inactivos: Jubilados,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"2,6"
Inactivos: Jubilados,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"2,7"
Inactivos: Jubilados,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"2,8"
Inactivos: Jubilados,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"15,7"
Inactivos: Jubilados,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"15,2"
Inactivos: Jubilados,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"15,9"
Inactivos: Jubilados,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"16,4"
Inactivos: Jubilados,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"16,8"
Inactivos: Jubilados,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"16,3"
Inactivos: Labores del hogar,Total,2019-01-01T00:00:00Z,"2.504,4"
Inactivos: Labores del hogar,Total,2018-01-01T00:00:00Z,"2.578,5"
Inactivos: Labores del hogar,Total,2017-01-01T00:00:00Z,"2.636,9"
Inactivos: Labores del hogar,Total,2016-01-01T00:00:00Z,"2.671,2"
Inactivos: Labores del hogar,Total,2015-01-01T00:00:00Z,"2.692,1"
Inactivos: Labores del hogar,Total,2014-01-01T00:00:00Z,"2.858,0"
Inactivos: Labores del hogar,Personas sin discapacidad,2019-01-01T00:00:00Z,"2.395,2"
Inactivos: Labores del hogar,Personas sin discapacidad,2018-01-01T00:00:00Z,"2.465,3"
Inactivos: Labores del hogar,Personas sin discapacidad,2017-01-01T00:00:00Z,"2.540,0"
Inactivos: Labores del hogar,Personas sin discapacidad,2016-01-01T00:00:00Z,"2.567,0"
Inactivos: Labores del hogar,Personas sin discapacidad,2015-01-01T00:00:00Z,"2.590,7"
Inactivos: Labores del hogar,Personas sin discapacidad,2014-01-01T00:00:00Z,"2.756,2"
Inactivos: Labores del hogar,Personas con discapacidad,2019-01-01T00:00:00Z,"109,1"
Inactivos: Labores del hogar,Personas con discapacidad,2018-01-01T00:00:00Z,"113,2"
Inactivos: Labores del hogar,Personas con discapacidad,2017-01-01T00:00:00Z,"96,9"
Inactivos: Labores del hogar,Personas con discapacidad,2016-01-01T00:00:00Z,"104,2"
Inactivos: Labores del hogar,Personas con discapacidad,2015-01-01T00:00:00Z,"101,4"
Inactivos: Labores del hogar,Personas con discapacidad,2014-01-01T00:00:00Z,"101,8"
Inactivos: Labores del hogar,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"8,2"
Inactivos: Labores del hogar,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"8,5"
Inactivos: Labores del hogar,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"8,8"
Inactivos: Labores del hogar,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"8,9"
Inactivos: Labores del hogar,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"8,9"
Inactivos: Labores del hogar,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"9,4"
Inactivos: Labores del hogar,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"8,4"
Inactivos: Labores del hogar,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"8,7"
Inactivos: Labores del hogar,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"9,0"
Inactivos: Labores del hogar,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"9,1"
Inactivos: Labores del hogar,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"9,1"
Inactivos: Labores del hogar,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"9,6"
Inactivos: Labores del hogar,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"5,8"
Inactivos: Labores del hogar,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"6,0"
Inactivos: Labores del hogar,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"5,2"
Inactivos: Labores del hogar,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"5,7"
Inactivos: Labores del hogar,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"5,7"
Inactivos: Labores del hogar,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"5,8"
Inactivos: Incapacidad,Total,2019-01-01T00:00:00Z,"863,2"
Inactivos: Incapacidad,Total,2018-01-01T00:00:00Z,"875,7"
Inactivos: Incapacidad,Total,2017-01-01T00:00:00Z,"867,2"
Inactivos: Incapacidad,Total,2016-01-01T00:00:00Z,"843,3"
Inactivos: Incapacidad,Total,2015-01-01T00:00:00Z,"839,3"
Inactivos: Incapacidad,Total,2014-01-01T00:00:00Z,"858,0"
Inactivos: Incapacidad,Personas sin discapacidad,2019-01-01T00:00:00Z,"105,3"
Inactivos: Incapacidad,Personas sin discapacidad,2018-01-01T00:00:00Z,"114,3"
Inactivos: Incapacidad,Personas sin discapacidad,2017-01-01T00:00:00Z,"114,6"
Inactivos: Incapacidad,Personas sin discapacidad,2016-01-01T00:00:00Z,"111,3"
Inactivos: Incapacidad,Personas sin discapacidad,2015-01-01T00:00:00Z,"118,5"
Inactivos: Incapacidad,Personas sin discapacidad,2014-01-01T00:00:00Z,"133,1"
Inactivos: Incapacidad,Personas con discapacidad,2019-01-01T00:00:00Z,"757,8"
Inactivos: Incapacidad,Personas con discapacidad,2018-01-01T00:00:00Z,"761,4"
Inactivos: Incapacidad,Personas con discapacidad,2017-01-01T00:00:00Z,"752,6"
Inactivos: Incapacidad,Personas con discapacidad,2016-01-01T00:00:00Z,"732,0"
Inactivos: Incapacidad,Personas con discapacidad,2015-01-01T00:00:00Z,"720,7"
Inactivos: Incapacidad,Personas con discapacidad,2014-01-01T00:00:00Z,"724,9"
Inactivos: Incapacidad,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"2,8"
Inactivos: Incapacidad,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"2,9"
Inactivos: Incapacidad,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"2,9"
Inactivos: Incapacidad,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"2,8"
Inactivos: Incapacidad,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"2,8"
Inactivos: Incapacidad,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"2,8"
Inactivos: Incapacidad,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"0,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"0,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"0,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"0,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"0,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"0,5"
Inactivos: Incapacidad,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"40,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"40,1"
Inactivos: Incapacidad,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"40,4"
Inactivos: Incapacidad,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"39,8"
Inactivos: Incapacidad,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"40,6"
Inactivos: Incapacidad,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"41,6"
Inactivos: Otra situación de inactividad,Total,2019-01-01T00:00:00Z,"408,7"
Inactivos: Otra situación de inactividad,Total,2018-01-01T00:00:00Z,"410,2"
Inactivos: Otra situación de inactividad,Total,2017-01-01T00:00:00Z,"351,4"
Inactivos: Otra situación de inactividad,Total,2016-01-01T00:00:00Z,"291,0"
Inactivos: Otra situación de inactividad,Total,2015-01-01T00:00:00Z,"311,2"
Inactivos: Otra situación de inactividad,Total,2014-01-01T00:00:00Z,"304,1"
Inactivos: Otra situación de inactividad,Personas sin discapacidad,2019-01-01T00:00:00Z,"376,6"
Inactivos: Otra situación de inactividad,Personas sin discapacidad,2018-01-01T00:00:00Z,"374,0"
Inactivos: Otra situación de inactividad,Personas sin discapacidad,2017-01-01T00:00:00Z,"322,6"
Inactivos: Otra situación de inactividad,Personas sin discapacidad,2016-01-01T00:00:00Z,"267,1"
Inactivos: Otra situación de inactividad,Personas sin discapacidad,2015-01-01T00:00:00Z,"288,4"
Inactivos: Otra situación de inactividad,Personas sin discapacidad,2014-01-01T00:00:00Z,"282,8"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2019-01-01T00:00:00Z,"32,1"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2018-01-01T00:00:00Z,"36,2"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2017-01-01T00:00:00Z,"28,8"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2016-01-01T00:00:00Z,"23,8"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2015-01-01T00:00:00Z,"22,9"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2014-01-01T00:00:00Z,"21,4"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"1,3"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"1,4"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"1,2"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"1,0"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"1,0"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"1,0"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"1,3"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"1,3"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"1,1"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"0,9"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"1,0"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"1,0"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"1,7"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"1,9"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"1,5"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"1,3"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"1,3"
Inactivos: Otra situación de inactividad,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"1,2"
